frequency,quantity
5,0.06925679
6,0.0154272
7,0.07581506
8,0.05640487
9,0.03253544
10,0.03601024
12,0.03630688
13,0.01861276
14,0.01726363
15,0.0210619
17,0.0124497
0,0.01767513
1,0.0200872
2,0.04533515
3,0.02850735
4,0.0177862
5,0.06388111
6,0.01487907
7,0.074426
8,0.06028187
9,0.03215931
10,0.03308773
11,0.01041977
12,0.03938478
13,0.01535437
14,0.01403743
15,0.02111322
17,0.01055372
0,0.01378402
1,0.01675116
2,0.04927363
3,0.03459493
5,0.05404755
6,0.01435223
7,0.07489061
8,0.06068081
9,0.03164574
10,0.0378812
11,0.0151162
12,0.03783397
13,0.01696809
14,0.01338466
15,0.01535441
2,0.03004572
3,0.04258812
4,0.02117015
5,0.05443295
6,0.02956839
7,0.07945256
8,0.056924
9,0.02495912
10,0.04313
11,0.01134898
12,0.03085648
13,0.02274193
14,0.01106066
15,0.01984912
2,0.02483243
3,0.04314658
4,0.02288269
5,0.05289212
6,0.02885146
7,0.08231632
8,0.06732222
9,0.01904789
10,0.03998477
11,0.01519747
12,0.0307078
13,0.026112
15,0.01815102
2,0.03167259
3,0.04809261
4,0.02262234
5,0.0538598
6,0.03451529
7,0.07681495
8,0.07149243
9,0.02387183
10,0.03534712
11,0.01493728
12,0.02433739
13,0.02508279
14,0.01045824
15,0.01461916
2,0.02599881
3,0.04301795
4,0.02513594
5,0.03912504
6,0.02929876
7,0.08212983
8,0.06951015
9,0.02429779
10,0.03878908
11,0.01440546
12,0.02653151
13,0.02481266
15,0.01701744
2,0.02599881
3,0.04301795
4,0.02513594
5,0.03912504
6,0.02929876
7,0.08212983
8,0.06951015
9,0.02429779
10,0.03878908
11,0.01440546
12,0.02653151
13,0.02481266
15,0.01701744
2,0.0311318
3,0.04680265
4,0.02560941
5,0.05076125
6,0.03261901
7,0.07903436
8,0.06993645
9,0.02048827
10,0.03946145
11,0.01489526
12,0.02621261
13,0.02454045
15,0.01799389
0,0.0103794
1,0.01257308
2,0.03877404
3,0.04009064
4,0.01889217
5,0.0509467
6,0.02872068
7,0.06536721
8,0.09219526
9,0.02770881
10,0.02411609
11,0.02201347
12,0.02799927
13,0.02510262
15,0.01489066
18,0.01071638
0,0.02100283
1,0.02340065
2,0.04609588
3,0.02438397
5,0.0607079
6,0.02632592
7,0.06788223
8,0.09526008
9,0.0262637
10,0.02372359
11,0.02388582
12,0.02875973
13,0.02317363
15,0.01935255
0,0.0199735
1,0.02248378
2,0.04414668
3,0.02873285
4,0.01126955
5,0.06387386
6,0.02790239
7,0.07609829
8,0.08715527
9,0.02539402
10,0.02693835
11,0.01835189
12,0.02928683
13,0.02233963
15,0.01788789
0,0.01883206
1,0.02155226
2,0.03751874
3,0.02490244
5,0.05561605
6,0.02836984
7,0.07819413
8,0.0830207
9,0.02663342
10,0.02891155
11,0.01938543
12,0.03212921
